code_id,code_name,article_num,label,text
H682686,CODIGO DE COMERCIO,340,0,"Artículo 340.- En toda venta mercantil el vendedor quedará obligado a la evicción y saneamiento en favor del comprador, salvo pacto en contrario."
H682686,CODIGO DE COMERCIO,882,0,"Artículo 882.- Intervención de peritos Los peritos que el Juez o Tribunal o los interesados nombren, según los casos, procederán al reconocimiento y avaluación de las averías, en la forma prevenida en el artículo 866, y en el 867 reglas 2ª. a la 7ª., en cuanto les sean aplicables."
H682683,CÓDIGO PROCESAL CONSTITUCIONAL,51,0,"Artículo 51.- Juez Competente y plazo de resolución en Corte Es competente para conocer del proceso de amparo, del proceso de hábeas data y del proceso de cumplimiento el Juez civil o mixto del lugar donde se afectó el derecho, o donde tiene su domicilio principal el afectado, a elección del demandante. En el proceso de amparo, hábeas data y en el de cumplimiento no se admitirá la prórroga de la competencia territorial, bajo sanción de nulidad de todo lo actuado. Promovida la excepción de incompetencia, el Juez le dará el trámite a que se refieren los artículos 10 y 53 de este Código. De comprobarse malicia o temeridad en la elección del Juez por el demandante, éste será pasible de una multa no menor de 3 URP ni mayor a 10 URP, sin perjuicio de remitir copias al Ministerio Público, para que proceda con arreglo a sus atribuciones. Si la afectación de derechos se origina en una resolución judicial, la demanda se interpondrá ante la Sala Civil de turno de la Corte Superior de Justicia de la República respectiva, la que designará a uno de sus miembros, el cual verificará los hechos referidos al presunto agravio."
H682692,CODIGO PENAL,46-C,1,"Artículo 46-C.- Habitualidad (.) El plazo fijado no es aplicable para los delitos previstos en los artículos 107, 108, 108-B, 121-A, 121-B, 152, 153, 153-A, 173, 173-A, 186, 189, 200, 297, 319, 320, 321, 325, 326, 327, 328, 329, 330, 331, 332 y 346 del Código Penal, el cual se computa sin límite de tiempo. (.)'”. CONCORDANCIAS AL ARTÍCULO 46-C DEL CÓDIGO PENAL EXP. 0014-2006-PI-TC EXP.03598-2017-0-1401-JR-PE-02 CONCORDANCIAS AL ARTÍCULO 46-C DEL CÓDIGO PENAL Acuerdo Plenario Nº 1-2008-CJ-116 Recurso de Nulidad N° 2479-2016-ANCASH CONCORDANCIAS AL ARTÍCULO 47 DEL CÓDIGO PENAL SENTENCIA DEL TRIBUNAL CONSTITUCIONAL EXP. 0019-2005-PI-TC CONCORDANCIAS AL ARTÍCULO 47 DEL CÓDIGO PENAL SENTENCIA EN CASACIÓN DE LA CORTE SUPREMA DE JUSTICIA CAS.126-2012-CAJAMARCA CONCORDANCIAS AL ARTÍCULO 48 DEL CÓDIGO PENAL SENTENCIAS  DEL TRIBUNAL CONSTITUCIONAL EXP. 2050-2002-AA-TC EXP.03708-2013-PA-TC CONCORDANCIAS AL ARTÍCULO 48 DEL CÓDIGO PENAL EXP. 1317-2002-LA LIBERTAD EXP. 1407-2002-CALLAO EXP. 2325-2001-PUNO R N° 2093-2001-LIMA EXP. 1753-2001-JUNIN EXP. 730-1987-LIMA R Nº 4052-2004-AYACUCHO CONCORDANCIAS AL ARTÍCULO 49 DEL CÓDIGO PENAL Acuerdo Plenario Nº 8-2009-CJ-116 CONCORDANCIAS AL ARTÍCULO 49 DEL CÓDIGO PENAL EXP.0562-2017-0-1401-JR-PE-04 EXPEDIENTE VICTORINO CANO MENESES CONCORDANCIAS AL ARTÍCULO 50 DEL CÓDIGO PENAL R Nº 4052-2004-AYACUCHO EXP. 367-2004-SANTA R N° 2480-2002-ANCASH EXP. 3863-2001-HUANCAYO EXP. 4217-2001-LIMA Acuerdo Plenario Nº 4-2009-CJ-116 R Nº 4052-2004-AYACUCHO CONCORDANCIAS AL ARTÍCULO 50 DEL CÓDIGO PENAL EXP. 2050-2002-AA-TC EXP.03708-2013-PA-TC EXP.2116-2014-LIMA FE DE ERRATAS Fecha de publicación: 29-09-2009 DICE:"
H682700,CODIGO PENAL MILITAR POLICIAL,501,1,"Artículo 501.- Clasificación Los centros de reclusión militar policial se sectorizan en: a) Sector para varones; y, b) Sector para mujeres. La creación y cierre de centros de reclusión militar policial será decidido por cada instituto armado o la Policía Nacional, de acuerdo con sus necesidades."
H682685,(TUO) CODIGO PROCESAL CIVIL,440,1,"Artículo  440.- Cuando al contestarse la demanda o la reconvención se invocan hechos no expuestos en ellas, la otra parte puede, dentro del plazo establecido en cada proceso, que en ningún caso será mayor de diez días desde que fue notificado, ofrecer los medios probatorios referentes a tal hecho. JURISPRUDENCIA DE LA CORTE SUPREMA DE JUSTICIA Sanción por juramento falso.-"
H682684,CODIGO CIVIL,39,1,Artículo 39.- El cambio de domicilio se realiza por el traslado de la residencia habitual a otro lugar. Comunicación a terceros del cambio de domicilio
H682684,CODIGO CIVIL,221,1,Artículo 221.- El acto jurídico es anulable: 1.- Por incapacidad relativa del agente.
H682697,CÓDIGO DE PROTECCIÓN Y DEFENSA DEL CONSUMIDOR,7,1,"Artículo 7-A del Texto Único Ordenado del Decreto Legislativo núm. 716, Ley de Protección al Consumidor. - Ley núm. 27846, Ley que Precisa Alcances del artículo 40 del Decreto Supremo núm. 039-2000-ITINCI, Texto Único Ordenado de la Ley de Protección al Consumidor. - Decreto Supremo núm. 077-2010-PCM, que dispone la obligación de contar con un libro de reclamaciones en los establecimientos abiertos al público que provean bienes y servicios a los consumidores finales. Toda referencia al Decreto Legislativo núm. 716 o al Decreto Supremo núm. 006-2009-PCM se entenderá efectuada al presente Código a partir de su entrada en vigencia. SEGUNDA.- Derogación genérica Deróganse todas las disposiciones legales o administrativas, de igual o inferior rango, que se opongan o contradigan lo dispuesto en el presente Código. Comuníquese al señor Presidente de la República para su promulgación. En Lima, a los catorce días del mes de agosto de dos mil diez. CÉSAR ZUMAE TA FLORES Presidente del Congreso de la República ALDA LAZO RÍOS DE HORNUNG Segunda Vicepresidenta del Congreso de la República AL SEÑOR PRESIDENTE CONSTITUCIONAL DE LA REPÚBLICA POR TANTO: Mando se publique y cumpla. Dado en la Casa de Gobierno, en Lima, el primer día del mes de setiembre del año dos mil diez. ALAN GARCÍA PÉREZ Presidente Constitucional de la República JAVIER VELASQUEZ QUESQUÉN Presidente del Consejo de Ministros CUADRO DE MODIFICACIONES DEL CÓDIGO DE PROTECCIÓN Y DEFENSA DEL
CONSUMIDOR ARTICULO AFECTADO AFECTACIÓN JURÍDICA FECHA DEPUBLICACIÓN Lit. c) del Num. 1.1. del Art. 1 MODIFICADO por el Artículo 3 de la Ley N° 31040 29-08-2020 Lit. l) del Num. 1.1. del Art. 1 INCORPORADO por el Artículo Único de la Ley N° 31601 05-11-2022 Art. 3-A INCORPORADO por
  el Artículo 4 de la Ley N° 31040 29-08-2020 Art. 24, Num. 24.1 MODIFICADO por el Artículo Único de la Ley N° 31435 , vigente a los sesenta (60) días calendario contados a partir del día siguiente de su publicación en el diario oficial El Peruano 22-03-2022 MELISSA MELISSA Art.29, literales c) y h) MODIFICADOS por el Artículo 1 de la Ley Nº 32230 08-01-2025 Art. 42 , Num. 42.3 MODIFICADO por el Artículo 2 de la Ley Nº 32327 10-05-2025 Art. 47, Lit. e MODIFICADO por el Artículo Único de la Ley Nº 31537 28-07-2022 Art. 47, Lit. f INCORPORADO por el Artículo Único de la Ley Nº 31537 28-07-2022 MELISSA Art. 58, lit. e) del num. 58.1 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 58, lit. e) del num. 58.1_Agregado MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 58, lit. e) del num. 58.1_Agregado MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 66, párrafo 66.7 MODIFICADO por el Artículo Único de la Ley Nº 30046 20-06-2013 Art. 66, párrafo 66.9 INCORPORADO por el Artículo 1 de la Ley Nº 31937 18-11-2023 Art. 66, párrafo 66.10 INCORPORADO por el Artículo Único de la Ley Nº 32032 18-05-2024 Art. 76 MODIFICADO por el Artículo Único de la Ley N° 30534 10-01-2017 Art. 77, último párrafo MODIFICADO por el Artículo Único de la Ley N° 30534 10-01-2017 Art. 80, lit. a) MODIFICADO por el Artículo Único de la Ley N° 30534 10-01-2017 Art. 82 MODIFICADO por el Artículo 1 de la Ley Nº 29888 24-06-2012 Art. 83 MODIFICADO por el Artículo 1 de la Ley Nº 29888 24-06-2012 Art. 84 MODIFICADO por el Artículo 1 de la Ley Nº 29888 24-06-2012 Art. 88, Párrafo 88.1 MODIFICADO por el Artículo Único de la Ley Nº 31763 . La citada ley entra en vigor a los sesenta días hábiles contados a partir del día siguiente de su publicación en el diario oficial El Peruano 04-06-2023 Art. 90-A INCORPORADO por
  el Artículo Único de la Ley N° 30908 23-01-2019 Art. 94 MODIFICADO por el Artículo 1 de la Ley Nº 29888 24-06-2012 Art. 97-A INCORPORADO por
  el Artículo 4 de la Ley N° 31040 29-08-2020 Art. 105 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 106 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 106, extremo y literales f. y g. MODIFICADOS por
  el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 106, num. 106.1 INCORPORADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 107 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 107-A INCORPORADO por
  el Artículo 2 del Decreto Legislativo N° 1308 30-12-2016 Art. 108 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 108, lit. f) del segundo párrafo MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 109 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 110 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 112 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 112, num. 3 del tercer párrafo MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 115 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 117 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 118 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 125 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 125, primer y segundo párrafo MODIFICADOS por
  el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 126 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1308 30-12-2016 Art. 130 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 147-A INCORPORADO por el Artículo Único de la Ley Nº 31467 06-05-2022 Art. 131, num. 131.1 MODIFICADO por el Artículo 1 del Decreto Legislativo N° 1390 05-09-2018 Art. 136, literales g) y j) MODIFICADOS por el Artículo 1 de la Ley Nº 32230 08-01-2025 Art. 150 MODIFICADO por el Artículo Único de la Ley Nº 32495 11-11-2025 Art. 151 MODIFICADO por el Artículo Único de la Ley Nº 32495 11-11-2025 Art.  152 MODIFICADO por el Artículo Único de la Ley N° 31435 , vigente a los sesenta (60) días calendario c"
H682684,CODIGO CIVIL,2032,0,"Artículo 2032.- En el caso del artículo 2031, los jueces ordenan pasar partes al registro, bajo responsabilidad."
